FIPS,county,IRR2000,IRR2010,pct_change_proprietors_2000_2017,proprietors_2000,proprietors_2017,pct_proprietors_employment_2000,pct_proprietors_employment_2010,pct_proprietors_employment_2017,total_employment_2017,wage_salary_jobs_2017,pct_change_pro_emp_2000_2017,pct_change_pro_emp_2010_2017,pct_broadband_FCC,pct_broadband_MS,state,venturedensitymay18,venturedensitynov18,venturedensityfeb19,venturedensitysep19,venturedensityoct19,venturedensitynov19,venturedensitydec19,highlyactive_vdmay18,highlyactive_vdnov18,highlyactive_vdfeb19,highlyactive_vdsep19,highlyactive_vdoct19,highlyactive_vdnov19,highlyactive_vddec19,prosperityindex2016,prosperity2007,change_prosperity,frac_BB.sept,frac_BB.oct,frac_BB.nov,frac_BB.dec,emp_cbp_2012,est_cbp_2012,est_50_cbp_2012,est_10_cbp_2012,pct_50_est_cbp_2012,pct_10_est_cbp_2012,emp_cbp_2017,est_cbp_2017,est_50_cbp_2017,est_10_cbp_2017,pct_50_est_cbp_2017,pct_10_est_cbp_2017,emp_cbp_2018,est_cbp_2018,est_50_cbp_2018,est_10_cbp_2018,pct_50_est_cbp_2018,pct_10_est_cbp_2018,neest_nemp_2012,nonfarmneest_nemp_2012,pct_nonfarmneest_nemp_2012,neest_nemp_2017,nonfarmneest_nemp_2017,pct_nonfarmneest_nemp_2017,neest_nemp_2018,nonfarmneest_nemp_2018,pct_nonfarmneest_nemp_2018,chg_pct_nonfarmneest_nemp_2012_2018,pct_fixed_acs_2018,pct_nobroadband_acs_2018,pct_cellular_acs_2018,pct_sat_acs_2018,pct_anybroadband_acs_2018,totalemp_bea_2012,totalemp_bea_2018,salaryemp_bea_2012,salaryemp_bea_2018,proprietors_bea_2012,proprietors_bea_2018,nonfarmproprietors_bea_2012,nonfarmproprietors_bea_2018,pct_nonfarm_bea_2012,pct_nonfarm_bea_2018,pct_chg_bea_2012_2018,emp_abs_2012,firm_2012,emp_abs_2017,firm_2017,chg_firm_2012_2017,RUCC_2013,metro_desc,pctboomers_2019,pctgenx_2019,pctmilennial_2019,population_2019,pctlessthanhigh_2019,pctbachelors_2019,pctgraduate_2019,pctagriculture_2019,pctconstruction_2019,pctmanufacture_2019,pctwholesale_2019,pctretail_2019,pcttransportation_2019,pctinformation_2019,pctfinance_2019,pctprofessional_2019,pctedu_healthcare_social_2019,pctarts_ent_2019,pctother_occupation_2019,pctpublic_admin_2019,pct_self_employed_2019,venturedensity_mean,highlyactive_vd_mean,pct_broadband_mlab,pct_broadband_FCC_2019,mediandown,medianup,prom_provider,prom_tech
48001,Anderson County,0.5,0.5,0.019147345,6685,6813,0.2683,0.2693,0.242688704,28073,21260,-0.0256,-0.0266,0.52,0.12,Texas,0.515820801,1.301668644,1.024717808,0.968174875,1.460235357,0.971370101,0.960186601,0.288624495,0.273488879,0.240600988,0.30033777,0.280681401,0.296772923,0.289643253,21.91446686,22.57285309,-0.65838623,0.11805141817576141,0.12925055142392214,0.15268379242063085,0.1165580377791696,12063,930,890,708,0.956989247311828,0.7612903225806451,11976,899,866,679,0.9632925472747497,0.7552836484983315,12216,891,857,666,0.9618406285072951,0.7474747474747475,2931,2793,0.1047833427124367,2962,5267,0.18761799593915862,3021,5450,0.19009417509591908,0.851121304739224,45.4,33.1,9.3,21.3,66.9,26655,28670,19572,21604,7083,7066,5260,5271,0.1973363346464078,0.1838507150331357,-0.013485619613272104,11228,800,11258,711,-89,7,Nonmetro,0.20543864207153373,0.3046332380704945,0.300614878323374,57735,19.900000000000006,7.6,4.1,8.8,5.4,6.2,1.5,18.9,6.6,0.5,3.1,7.8,21.2,6,4.5,9.4,6.6,1.0288820267142857,0.28144995842857146,0.129135949949871,"0,4695101",25,"2,0","ViaSat, Inc.",60
48003,Andrews County,0.56,0.56,0.918103448,1392,2670,0.2339,0.2274,0.25877108,10318,7648,0.0249,0.0314,0.83,0.4,Texas,0.511182129,1.45803082,1.498692989,2.137881279,2.089838982,2.057810783,2.049803734,0.169707745,0.162648857,0.133604407,0.280246628,0.248218432,0.296260696,0.312274788,44.25770187,57.74280167,-13.48509979,0.23765188551285774,0.2647266044409541,0.32018154803445387,0.3523206769455985,5253,390,371,261,0.9512820512820512,0.6692307692307692,5305,405,386,270,0.9530864197530864,0.6666666666666666,5757,432,411,282,0.9513888888888888,0.6527777777777778,1165,1148,0.12650137741046832,1334,2165,0.20982748594688894,1449,2601,0.24588769143505387,0.8096233305787327,67.6,15,13.1,7.8,85,9075,10578,7114,8059,1961,2519,1822,2376,0.20077134986225895,0.22461712989222915,0.023845780029970204,4838,303,7500,NA,NA,6,Nonmetro,0.1615610799251537,0.24640470462443198,0.2908313285217856,18705,25.400000000000006,6.6,3.8,26.4,7.8,5.4,0.7,11.6,9.1,1.4,5.3,6.1,15.3,5.8,3.1,2,5.1,1.6861772451428572,0.22899450757142858,0.29372017873346606,"0,5211377",25,"3,0",GCI Communication Corp.,60
48005,Angelina County,0.48,0.48,0.335068799,8067,10770,0.1783,0.2024,0.223522819,48183,37413,0.0452,0.0211,0.85,0.26,Texas,1.010757804,2.277057171,2.494951963,1.460350513,1.565116882,1.457171679,1.453992844,0.45629403,0.446056783,0.472295433,0.303259562,0.321336269,0.296901911,0.295630377,18.21893311,31.05166626,-12.83273315,0.3007212393620005,0.33537639241979916,0.387032640481208,0.3925628049505957,30108,1847,1744,1267,0.9442338927991337,0.6859772604223064,28296,1875,1779,1274,0.9488,0.6794666666666667,29102,1857,1749,1265,0.9418416801292407,0.6812062466343565,5071,4912,0.10353913281760503,5552,8730,0.18118423510366727,5782,9351,0.1937428778618046,0.6486152258817219,63.2,20.2,10.7,5.8,79.8,47441,48265,37930,37065,9511,11200,8613,10322,0.18155182226344302,0.2138609758624262,0.032309153598983176,29856,1526,24801,1411,-115,5,Nonmetro,0.2192008303061754,0.2389321340021911,0.25143285475407945,86715,18.900000000000006,11.3,5,4,6.8,11.7,2.2,13.4,4.3,0.5,4.2,7.9,25.8,8.9,6,4.2,7.2,1.6741998365714286,0.3702534807142857,0.35392326930340084,"0,5163666",25,"3,0","ViaSat, Inc.",60
48007,Aransas County,0.5,0.49,0.218390805,3393,4134,0.353,0.3802,0.383950961,10767,6633,0.031,0.0038,1,0.3,Texas,1.621577859,3.995309114,3.886125565,3.087602377,11.15453243,3.137581587,3.151464701,0.723688066,0.73193419,0.699583471,0.563796982,2.153712034,0.577792013,0.589787681,39.80374908,18.92234802,20.88140106,0.2623724090369884,0.33667320773849563,0.40245405710386345,0.38934130479273615,3865,488,478,394,0.9795081967213115,0.8073770491803278,4387,529,519,411,0.9810964083175804,0.776937618147448,3883,487,479,387,0.9835728952772074,0.7946611909650924,2526,2369,0.22053621299571774,2602,4512,0.4190582334912232,2694,4921,0.4623696326223809,0.8888054213903687,52.2,19.9,15.1,11.5,80.1,10742,10643,6673,6172,4069,4471,3979,4382,0.3704151927015453,0.4117260171004416,0.04131082439889627,2918,502,2926,495,-7,2,Metro,0.32330923011484475,0.20986814121650363,0.1922586133560187,23510,15.099999999999994,13.2,8.5,4.7,12.4,5,3.2,10.6,3.1,0.5,4.7,8.2,18.9,15.8,7,6,13.7,4.290599090428572,0.8628992052857143,0.3477102446680209,"0,5148537",25,"3,0","SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",60
48009,Archer County,0.57,0.57,0.609090909,1650,2655,0.4457,0.4696,0.557070919,4766,2111,0.1114,0.0875,0.88,0.24,Texas,0.45714286,0.754285693,0.834285736,2.095886707,1.685804963,2.06968832,2.06968832,0.184069261,0.171428576,0.22857143,0.982843805,0.452056348,0.955704134,0.951827038,45.54987335,53.47862625,-7.928752899,0.4106497740033146,0.4386807650652369,0.5215627026805584,0.5030964200608267,1531,192,186,155,0.96875,0.8072916666666666,1109,213,213,188,1,0.8826291079812206,1270,215,212,184,0.986046511627907,0.8558139534883721,876,809,0.1857208448117539,908,1524,0.31976500209819553,943,1630,0.33009315512353177,0.8050099991768233,55.7,24.8,10.7,7.4,75.2,4356,4938,2259,2131,2097,2807,1620,2314,0.371900826446281,0.4686107735925476,0.09670994714626663,1750,177,1192,195,18,3,Metro,0.27428972290424414,0.2402665731322343,0.21898748976967147,8553,9,16.9,6.5,9.8,7.4,7.7,3.4,12.6,4.8,1,5.3,7.7,26,3.7,5.5,5.3,9.8,1.4238260855714286,0.560928656,0.46849741545248413,"0,5765370",25,"3,0","ViaSat, Inc.",60
48011,Armstrong County,0.63,0.64,-0.068143101,587,547,0.5307,0.5577,0.542120912,1009,462,0.0114,-0.0156,0.53,0.1,Texas,1.411395669,1.150026083,2.718243599,2.101167202,2.023346424,2.023346186,2.062256813,0.357553571,0.470465243,0.470465243,0.599553809,0.505836546,0.548429089,0.548429042,71.98210144,72.97021484,-0.988113403,NA,NA,0,0.0741405250615955,233,33,31,29,0.9393939393939394,0.8787878787878788,263,44,41,37,0.9318181818181818,0.8409090909090909,268,49,47,43,0.9591836734693877,0.8775510204081632,151,139,0.14914163090128754,192,325,0.32210109018830524,200,351,0.3238007380073801,0.8344701986754965,59.6,22.3,8.1,10.9,77.7,932,1084,425,492,507,592,275,355,0.29506437768240346,0.3274907749077491,0.03242639722534563,108,9,174,NA,NA,2,Metro,0.2882882882882883,0.23264440911499734,0.19183889772125065,1887,11.599999999999994,16.1,7.1,14.3,11.4,7.7,2,7.3,5.3,0,3.7,5,26,5.9,2.7,8.8,9.8,1.927111710857143,0.500104649,0.03707026253079775,"0,4718657",15,"2,0","ViaSat, Inc.",60
48013,Atascosa County,0.52,0.51,0.325943143,5593,7416,0.363,0.3645,0.351986331,21069,13653,-0.011,-0.0125,0.94,0.12,Texas,0.624607027,1.435757756,1.398029804,2.178094864,2.511939764,2.219525814,2.198810339,0.217759013,0.22846362,0.257807583,0.438546343,0.37071225,0.430919416,0.424563698,39.69623184,29.07298279,10.62324905,0.2055881240362748,0.18218894931895965,0.14336487225423308,0.15373620581334185,9006,678,643,509,0.948377581120944,0.7507374631268436,10887,811,772,584,0.9519112207151664,0.720098643649815,11918,830,786,588,0.946987951807229,0.708433734939759,3234,3140,0.16041687953407582,3511,6227,0.29555270776970904,3606,6357,0.2852975495915986,0.7919613466321334,27.1,23.2,35.2,15.1,76.8,19574,22282,12995,14597,6579,7685,4783,5882,0.24435475630939002,0.26397989408491157,0.01962513777552155,8377,635,11197,791,156,1,Metro,0.2036048716595312,0.24446269036029167,0.25932007897875003,51153,22.700000000000003,9.3,4,9.5,12.1,7.5,1.9,12.4,8,0.8,4.3,6.5,18.9,8.1,4.6,5.5,6.6,1.7952521954285714,0.338395989,0.17121953785570235,"0,5102192",25,"3,0","ViaSat, Inc.",60
48015,Austin County,0.52,0.52,0.292842459,5351,6918,0.3812,0.3447,0.38403464,18014,11096,0.0028,0.0393,0.53,0.14,Texas,2.683203459,3.452777624,6.383344173,3.701699257,6.246064186,3.755817652,3.734170437,0.658310294,0.711169124,1.374239922,0.883268751,1.449101448,0.845141988,0.841964781,45.32004166,60.79428101,-15.47423935,0.06824937723369695,0.07631834332319531,0.11000187151572638,0.1665188263415514,8384,583,552,420,0.9468267581475128,0.7204116638078902,7342,655,629,479,0.9603053435114504,0.7312977099236642,7572,684,657,505,0.9605263157894737,0.7383040935672515,2624,2264,0.12672114631142953,3138,5152,0.285999777950483,3212,5740,0.3068862275449102,0.9242436898217052,37.6,27.6,18.4,16.5,72.4,17866,18704,11171,11344,6695,7360,4795,5453,0.2683868801074667,0.29154191616766467,0.023155036060197975,7348,664,5695,571,-93,1,Metro,0.25869072988811936,0.23082045817794353,0.22492674480554076,30032,16.900000000000006,16.8,6.8,5,9.7,11.7,3.7,13.1,5.4,0.9,5.9,9.6,20.3,5.7,4.2,4.9,9.8,4.279582398285714,0.9661709011428571,0.10527210460354251,"0,3752044",6,"3,0","ViaSat, Inc.",60
48017,Bailey County,0.59,0.59,-0.138099106,1231,1061,0.3251,0.2655,0.300141443,3535,2474,-0.025,0.0346,0.74,0.09,Texas,0.476791471,1.065769196,1.051745892,1.122964621,1.310125351,1.141680717,1.141680717,0.238395765,0.238395751,0.16827935,0.420975545,0.318173319,0.411823904,0.375217362,10.03590012,30.3663063,-20.33040619,0.15091166642978954,0.11929038348265214,0.024629349848804143,0.148281050123191,1467,159,156,126,0.9811320754716981,0.7924528301886793,1423,152,149,113,0.9802631578947368,0.743421052631579,1376,144,141,109,0.9791666666666666,0.7569444444444444,374,312,0.0888129803586678,404,669,0.18925035360678924,413,636,0.18296892980437285,0.7057269749193977,53.4,31.2,12,2.1,68.8,3513,3476,2537,2471,976,1005,592,607,0.1685169370908056,0.17462600690448793,0.0061090698136823385,1750,103,704,112,9,7,Nonmetro,0.18842857142857142,0.22457142857142856,0.23714285714285716,7000,25.900000000000006,14.1,3.6,24.1,6.5,7.3,2,13.5,6.9,0.8,4.6,3.8,12.5,6.1,7.5,4.5,11.7,1.044393995,0.3101801422857143,0.1107781124711092,"0,4143474",10,"1,3","ViaSat, Inc.",60
48019,Bandera County,0.54,0.54,0.286804182,3539,4554,0.5606,0.5746,0.558430411,8155,3601,-0.0022,-0.0162,0.34,0.35,Texas,2.0128479,4.487270832,4.292172432,5.542804718,6.506092072,5.491163731,5.456736088,0.907555938,0.937425613,0.851772547,1.507734042,1.463425398,1.484750398,1.454871427,46.15829849,24.58950043,21.56879807,0.3223042018750505,0.3076720297968856,0.29160565547990663,0.405674571091749,2812,357,351,310,0.9831932773109243,0.8683473389355743,3198,399,391,336,0.9799498746867168,0.8421052631578947,3045,381,375,317,0.984251968503937,0.8320209973753281,2043,1820,0.23694831402161176,2420,4393,0.5386879215205396,2548,4495,0.5161920073495636,0.8732819344839483,32.4,20.5,19.4,26,79.5,7681,8708,3309,3764,4372,4944,3502,4062,0.4559302174196068,0.4664676159853009,0.010537398565694078,1594,284,3514,435,151,1,Metro,0.36985115957078574,0.21672724125995155,0.1744980962270682,23112,10.700000000000003,16,7.8,7.3,12,6.8,3.4,10.5,2.4,2.1,6.9,6.4,23.9,6.2,7.8,4.4,12.1,4.827012539,1.229647909,0.33181411456089793,"0,4503178",10,"1,3","ViaSat, Inc.",60
48021,Bastrop County,0.49,0.48,0.534300955,8061,12368,0.4159,0.4109,0.388417813,31842,19474,-0.0275,-0.0225,1,0.35,Texas,3.339038849,4.50399828,6.538844585,5.168109894,5.06092453,5.187312126,5.15622282,0.916197538,0.822624743,1.16112709,0.951875839,0.988000691,0.939074438,0.951875839,57.21937561,70.24279022,-13.02341461,0.23877951326366698,0.1976742083583168,0.2526788854858796,0.33440236823034175,11830,1105,1067,852,0.9656108597285068,0.7710407239819005,14332,1355,1304,1031,0.9623616236162361,0.7608856088560886,15145,1385,1330,1054,0.9602888086642599,0.7610108303249098,5511,5419,0.19785315272554677,6744,10440,0.32786885245901637,7100,12863,0.37973076695991026,0.8283840258024285,49.7,19.1,16.7,13.5,80.9,27389,33874,16112,20072,11277,13802,9395,11935,0.3430209208076235,0.35233512428411173,0.009314203476488259,9480,845,11163,1198,353,1,Metro,0.23925025078051915,0.24442365564735188,0.24230470114851843,88723,19,14,6.4,2.5,14.3,9.1,2.1,11.4,8.1,1.2,4.2,7.6,19.9,7,4.4,8.3,7.4,4.993493012,0.961539454,0.25588374383455126,"0,5250441",25,"3,0","ViaSat, Inc.",60
48023,Baylor County,0.6,0.61,-0.066666667,840,784,0.4008,0.3844,0.376923077,2080,1296,-0.0239,-0.0075,1,0.02,Texas,NA,1.703764796,NA,NA,NA,NA,NA,NA,0.412201166,NA,0.531914923,NA,0.398936169,0.398936169,NA,NA,4.588798523,0,0,0.03694402477320621,0.0296562100246382,966,113,110,97,0.9734513274336283,0.8584070796460177,820,104,101,89,0.9711538461538461,0.8557692307692307,817,101,99,86,0.9801980198019802,0.8514851485148515,264,160,0.07770762506070908,295,505,0.24278846153846154,297,519,0.2521865889212828,1.1414141414141414,57,25,12.1,9.8,75,2059,2058,1261,1263,798,795,550,544,0.26711996114618747,0.26433430515063167,-0.0027856559955558025,649,83,669,100,17,8,Nonmetro,0.25391849529780564,0.21915075520091193,0.21288116272442292,3509,11.5,15.1,4.5,9.8,3.7,2.9,2.1,7.9,3.5,2.5,6.7,4.9,32.6,13.6,7.2,2.5,10.4,1.703764796,0.43549710675,0.016650058699461102,"0,4598191",4,"2,0","ViaSat, Inc.",60
48025,Bee County,0.52,0.52,0.251028807,2916,3648,0.2429,0.2604,0.285401346,12782,9134,0.0425,0.025,1,0.26,Texas,0.296581656,0.843881845,0.76438576,1.113613009,12.8376627,1.105424762,1.089048028,0.132756531,0.152877152,0.140646979,0.252249395,3.05390048,0.244304514,0.248276955,10.56260014,25.99819946,-15.43560028,0.2072219897244871,0.17107986704341333,0.3138255867831496,0.33111302454693137,5326,472,454,348,0.961864406779661,0.7372881355932204,4768,479,464,348,0.9686847599164927,0.7265135699373695,5020,462,443,330,0.9588744588744589,0.7142857142857143,1550,1469,0.11153291321843443,1527,2685,0.21006102331403537,1608,2709,0.20600760456273765,0.7369595570534424,41.4,38.4,12.6,10.6,61.6,13171,13150,9832,9334,3339,3816,2456,2937,0.18647027560549692,0.22334600760456275,0.036875731999065825,5163,520,4475,357,-163,6,Nonmetro,0.17325349301397205,0.2770766159987717,0.34113311837862736,32565,26.299999999999997,6.2,4,9.8,6.7,3.5,2.5,16.9,7.2,0.5,3.4,3.2,20.2,7.3,5.2,13.6,6.3,2.578656822857143,0.6035731437142857,0.25581011702449535,"0,5290745",25,"3,0","ViaSat, Inc.",60
48027,Bell County,0.41,0.4,0.679572764,20223,33966,0.1295,0.1459,0.175554843,193478,159512,0.0461,0.0297,0.96,0.57,Texas,0.839632571,2.481117249,2.3269732,2.860806704,3.073628426,2.874142885,2.853625536,0.494968712,0.503235519,0.472708911,0.558098732,0.592243671,0.534967892,0.536312722,44.00801086,46.30018997,-2.292179108,0.2735066030574733,0.3215630583644348,0.3939427239177688,0.398050661110853,83169,4819,4554,3348,0.9450093380369371,0.6947499481220171,92327,5186,4876,3573,0.9402236791361358,0.6889703046664095,96534,5249,4932,3600,0.9396075442941513,0.6858449228424461,15017,13230,0.06978252957713792,18935,31209,0.16130516131032985,19882,34095,0.17214915048850066,0.8338661879477947,69.1,17,10.2,6.3,83,189589,198055,160109,160774,29480,37281,27186,35000,0.14339439524444983,0.17671858827093484,0.03332419302648501,74269,3318,94100,4176,858,2,Metro,0.16585566124036988,0.2361210611588101,0.32123529995260713,362924,9.400000000000006,16,8.5,0.9,7.1,5.6,2.2,12,4.7,1.5,4.9,9.5,26.7,9.6,4.8,10.7,4.8,2.472846653,0.5275051655714286,0.3467657616126325,"0,5138572",25,"3,0","ViaSat, Inc.",60
48029,Bexar County,0.29,0.26,0.865621679,131740,245777,0.1552,0.1991,0.206648169,1189350,943573,0.0514,0.0075,1,0.58,Texas,2.165009022,4.186100006,3.932965994,4.436977386,5.312171459,4.510725021,4.505700588,0.868124902,0.832033575,0.784850061,0.972451642,1.001272917,0.943162199,0.937999599,52.94929886,49.80566025,3.143638611,0.3385042282680365,0.38082525501567743,0.4377425765778477,0.46000471722440894,658910,33433,31094,22930,0.9300391828432986,0.6858493105614214,751933,36401,33693,24586,0.9256064393835334,0.6754210049174473,768295,36547,33843,24605,0.926013079048896,0.6732426738172764,118460,105661,0.1018924074191937,144880,256099,0.21532685920881153,151882,231279,0.18812225070928446,0.6307994164623161,65.7,20.8,10.4,6.5,79.2,1036986,1229408,828930,959387,208056,270021,205871,267848,0.19852823471097972,0.21786746141232202,0.019339226701342305,694710,24107,747224,25824,1717,1,Metro,0.17986687656035225,0.2555179446124237,0.3062028774867061,2003554,16.200000000000003,17.5,10,1.2,7.9,5.5,2.3,12,4.7,1.8,9,11.5,23.1,11.7,4.7,4.6,5.5,4.149949925142857,0.9056992707142857,0.40426919427149266,"0,5725562",25,"3,0","SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",60
48031,Blanco County,0.57,0.56,0.029868942,3281,3379,0.5561,0.4906,0.486957775,6939,3560,-0.0691,-0.0036,0.24,0.15,Texas,1.108261585,6.191610336,2.134090424,7.003089428,16.26789665,7.337795734,7.260556221,1.459555864,1.502106547,0.586187959,3.642997518,4.991614342,3.430010751,3.485572711,73.79896545,58.80279922,14.99616623,0.07486402275830735,0.0894677876119891,0.043463558556713196,0.22973120441621142,1725,241,238,198,0.9875518672199171,0.8215767634854771,2301,315,311,260,0.9873015873015873,0.8253968253968254,2326,332,327,273,0.9849397590361446,0.822289156626506,1224,1174,0.2025185440745213,1422,2576,0.3712350482778498,1521,2789,0.39672830725462305,0.8745117376339094,33.2,18,25.8,21.2,82,5797,7030,2966,3548,2831,3482,2131,2774,0.3676039330688287,0.3945945945945946,0.026990661525765902,2309,278,1750,NA,NA,8,Nonmetro,0.33785935797502303,0.23334171486044758,0.1843935965132847,11931,9.299999999999997,16.7,10.5,6.3,12.5,8.2,3.9,10.7,5.2,1.4,3.2,12,21.9,8.1,3,3.6,13,6.757614339714286,2.7282922417142856,0.10938164333580527,"0,4631371",12,"3,0","ViaSat, Inc.",60
48033,Borden County,0.68,0.69,0.078431373,204,220,0.5217,0.4394,0.523809524,420,200,0.0021,0.0844,0.3,0.01,Texas,5.444126129,0.286532938,9.169054031,1.124791026,1.181105137,1.109591126,1.094391227,0.455081731,0.143266469,3.008595943,0.30372981,0.31096518,0.303729787,0.30372981,NA,NA,NA,NA,NA,NA,NA,10,5,5,5,1,1,37,9,7,7,0.7777777777777778,0.7777777777777778,33,7,5,5,0.7142857142857143,0.7142857142857143,61,33,0.09401709401709402,57,84,0.2,67,108,0.22594142259414227,1.0709566919500855,49,21.5,7.3,28.4,78.5,351,478,185,219,166,259,69,155,0.19658119658119658,0.32426778242677823,0.12768658584558165,10,1,60,NA,NA,8,Nonmetro,0.2691131498470948,0.25535168195718655,0.172782874617737,654,6.900000000000006,23.1,11.9,28.4,14,1.1,2.2,1.8,3.6,0,2.2,8.3,18,0,7.6,12.9,18,2.772798802,0.6898712471428572,NaN,"0,4082144",10,"2,0","ViaSat, Inc.",60
48035,Bosque County,0.55,0.55,0.075740319,3512,3778,0.4467,0.4758,0.47390868,7972,4194,0.0272,-0.0019,1,0.09,Texas,0.378766775,2.34501195,1.008188009,3.30564189,2.930453777,3.340256214,3.271028042,0.659072399,0.629421294,0.228374094,0.790743902,0.551378667,0.773764774,0.776190357,16.6647377,29.44718552,-12.78244781,0.012855438251426515,0.08475895668504231,0.2512193684578023,0.04493365155248212,2550,297,288,238,0.9696969696969697,0.8013468013468014,2433,286,277,227,0.9685314685314685,0.7937062937062938,2475,288,279,220,0.96875,0.7638888888888888,1449,1382,0.18013555787278415,1543,2476,0.31058705469141995,1590,2844,0.35198019801980196,0.834918030652239,40.2,28.2,13.4,16.3,71.8,7672,8080,3928,4232,3744,3848,2608,2710,0.33993743482794575,0.3353960396039604,-0.004541395223985334,1750,215,2254,267,52,6,Nonmetro,0.29355097671929353,0.21996253679421995,0.2003211131924003,18685,14.900000000000006,12.9,5.6,5.8,12.3,11.4,2.2,11.6,6.2,1.5,4.8,7.5,21.8,6.8,3.2,4.9,10.3,2.368478093857143,0.6298493552857143,0.09844185373668832,"0,5568155",25,"3,0",AMG Technology Investment Group,60
48037,Bowie County,0.45,0.46,0.555571614,6919,10763,0.1465,0.1819,0.194960693,55206,44443,0.0485,0.0131,0.91,0.37,Texas,1.073992014,2.907480478,2.948129654,1.86179781,2.806242228,1.8056283,1.778490186,0.506536186,0.547693133,0.636479378,0.439311052,0.357962757,0.42282897,0.424730731,38.08572388,28.64791107,9.437812805,0.22657709918139232,0.25209330597926843,0.3069781852289094,0.274970088925145,31031,2166,2066,1496,0.9538319482917821,0.6906740535549399,34043,2224,2104,1492,0.9460431654676259,0.670863309352518,33821,2190,2072,1474,0.9461187214611873,0.6730593607305936,4880,4624,0.0847538399501448,5459,9811,0.17771619026917365,5577,10074,0.18120986455129243,0.8588065150486337,56.6,31.3,8.4,11.8,68.7,54558,55593,44506,44337,10052,11256,8585,9807,0.15735547490743795,0.1764071016135125,0.019051626706074548,32473,1802,33648,1744,-58,3,Metro,0.22239262158828893,0.24783098289452518,0.26414284948254596,93245,11.799999999999997,13.5,6.3,1.5,5.7,9.3,2.6,12.4,5.5,1.4,5.3,8,25.1,8.9,5.1,9.1,4.2,2.168822952857143,0.47650602957142857,0.2651546698286788,"0,5044404",25,"3,0","Valor Telecommunications of Texas, LLC",60
48039,Brazoria County,0.43,0.41,0.761144925,24316,42824,0.2328,0.2904,0.272313366,157260,114436,0.0395,-0.0181,0.83,0.52,Texas,1.269432306,3.965498447,2.806580067,3.334094524,2.949161053,3.3791821,3.379775286,0.738660455,0.75498122,0.530998528,0.810845196,0.480634123,0.785816461,0.783658773,57.76617813,59.81260681,-2.04642868,0.32954452771703596,0.35457062600377237,0.4103401662650128,0.4530809864875281,75950,4993,4730,3561,0.9473262567594632,0.7131984778690166,90444,5667,5344,3924,0.9430033527439562,0.6924298570672314,94522,5818,5500,4076,0.9453420419388106,0.7005843932622895,21839,21109,0.15215228923999538,26652,45960,0.29225486455551314,28672,51531,0.30496227252552155,0.8306850884930833,68.2,15.1,10.8,8.5,84.9,138736,168975,99338,120167,39398,48808,36611,46055,0.26388968977049937,0.27255511170291463,0.008665421932415263,72427,4338,86795,4419,81,1,Metro,0.19148782677468312,0.27938834619413033,0.27470983049398284,374264,12.299999999999997,19.1,10.7,2.1,10.6,13.8,2.4,8.6,5.4,1.6,5,10,24.9,6.6,4.7,4.4,5.2,3.0119605404285714,0.697942108,0.3868840766183373,"0,4677003",18,"3,0","SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",60
48041,Brazos County,0.42,0.4,1.190735695,12478,27336,0.1384,0.1871,0.20276525,134816,107480,0.0644,0.0157,0.99,0.58,Texas,2.049586535,4.500323772,4.522716045,1.938276291,2.367045164,1.955770135,1.955573559,1.000054598,1.061478019,1.05337882,0.467615761,0.552802563,0.45031854,0.458180904,52.32907104,47.16747284,5.161598206,0.3600652858817132,0.34013965498090265,0.4421084474038876,0.43405054229098633,55066,3884,3672,2655,0.945417095777549,0.6835736354273945,69462,4382,4122,2894,0.9406663623916021,0.6604290278411684,70078,4467,4205,2964,0.9413476606223417,0.6635325721961047,11631,10341,0.08925889481588896,14293,26091,0.19353044149062426,14818,25860,0.18352921137795947,0.8560852852282879,66,18.9,10.2,6.3,81.1,115854,140904,93285,112080,22569,28824,21305,27556,0.18389524746663904,0.19556577527962302,0.011670527812983972,56876,3422,69265,3833,411,3,Metro,0.14081784905610986,0.20427902674827997,0.4111321009899176,229211,13.299999999999997,21.8,19.1,2.6,6.7,5.7,2.2,10.8,2.8,1.2,4.6,9.5,33.7,11.5,4.8,3.9,5.4,2.7556130715714287,0.7205470292857142,0.3940909826393725,"0,3880634",6,"3,0",Frontier Communications Corporation,60
